telefon,adresa,jmeno,email,zakaznik_type
+62-664-848-2479,295,Bea Mitchelson,bmitchelson0@prlog.org,MAL_OBCH
+62-300-123-3211,434,Merci Dorricott,mdorricott1@t-online.de,MAL_OBCH
+81-139-322-6663,281,Jacenta Brabant,jbrabant2@slideshare.net,MAL_OBCH
+234-976-308-6490,148,Lucy Iacovelli,liacovelli3@opera.com,VEL_OBCH
+62-717-542-3915,74,Emmanuel Copestick,ecopestick4@blogtalkradio.com,VEL_OBCH
+86-967-237-9735,26,Paulina Bessey,pbessey5@scientificamerican.com,MAL_OBCH
+51-512-265-6591,196,Shepherd Hurlestone,shurlestone6@google.es,MAL_OBCH
+81-532-362-4390,415,Amelita Camies,acamies7@exblog.jp,MAL_OBCH
+57-895-937-7234,498,Raychel Giampietro,rgiampietro8@nifty.com,MAL_OBCH
+380-477-181-8155,457,Gardiner Lavin,glavin9@twitpic.com,VEL_OBCH
+231-368-938-2128,284,Zollie Rucklesse,zrucklessea@gizmodo.com,VEL_OBCH
+63-109-828-3210,84,Harcourt Poundesford,hpoundesfordb@scribd.com,MAL_OBCH
+62-968-849-0242,345,Berty Tearny,btearnyc@chronoengine.com,MAL_OBCH
+62-258-745-3648,497,Ellissa Justun,ejustund@github.io,VEL_OBCH
+30-895-611-9761,234,Linell Rupel,lrupele@zimbio.com,VEL_OBCH
+62-163-284-6320,48,Arnuad Skurray,askurrayf@wordpress.org,MAL_OBCH
+255-520-780-0709,315,Rosita Skaif,rskaifg@bravesites.com,VEL_OBCH
+49-925-576-3343,383,Abbi Durning,adurningh@noaa.gov,VEL_OBCH
+1-635-652-6047,490,Bertrando Cothey,bcotheyi@pinterest.com,MAL_OBCH
+373-827-641-3443,131,Davey Giacomello,dgiacomelloj@apache.org,MAL_OBCH
+62-878-325-7382,53,Lari Gebbe,lgebbek@time.com,MAL_OBCH
+33-467-486-9289,110,Cazzie Knock,cknockl@fda.gov,MAL_OBCH
+62-394-825-8717,35,Maison Lambal,mlambalm@cam.ac.uk,MAL_OBCH
+86-376-694-4761,483,Deeyn Sember,dsembern@mlb.com,MAL_OBCH
+226-838-416-0631,12,Clim Trusslove,ctrussloveo@elegantthemes.com,VEL_OBCH
+93-325-448-0528,342,Kelby Chalmers,kchalmersp@wikispaces.com,MAL_OBCH
